STATEFP,COUNTYFP,STATE,COUNTY,POP,R,D,TOTAL
22,57,Louisiana,Lafourche Parish,97596,36024,8672,45388
22,59,Louisiana,LaSalle Parish,15021,6378,638,7077
22,61,Louisiana,Lincoln Parish,46552,11311,7559,19275
22,63,Louisiana,Livingston Parish,143737,54877,9249,65230
22,65,Louisiana,Madison Parish,10635,1930,2654,4670
22,67,Louisiana,Morehouse Parish,24227,6510,4946,11574
22,69,Louisiana,Natchitoches Parish,37655,9358,6896,16554
22,71,Louisiana,Orleans Parish,389476,26664,147854,177819
22,73,Louisiana,Ouachita Parish,152439,42255,25913,69166
22,75,Louisiana,Plaquemines Parish,23113,7412,3414,11014
22,77,Louisiana,Pointe Coupee Parish,21529,7503,4683,12371
22,79,Louisiana,Rapides Parish,128567,38347,19475,58865
22,81,Louisiana,Red River Parish,8286,2413,1644,4132
22,83,Louisiana,Richland Parish,20014,6607,3225,9940
22,85,Louisiana,Sabine Parish,23803,8776,1731,10596
22,87,Louisiana,St. Bernard Parish,47647,11179,6151,17650
22,89,Louisiana,St. Charles Parish,52987,18233,9800,28517
22,91,Louisiana,St. Helena Parish,10081,2714,3346,6158
22,93,Louisiana,St. James Parish,20727,5954,6510,12590
22,95,Louisiana,St. John the Baptist Parish,42516,7538,13582,21432
22,97,Louisiana,St. Landry Parish,81440,23171,17372,41154
22,99,Louisiana,St. Martin Parish,52954,18203,8439,27038
22,101,Louisiana,St. Mary Parish,48330,14811,8055,23186
22,103,Louisiana,St. Tammany Parish,263446,99666,37746,140110
22,105,Louisiana,Tangipahoa Parish,136765,37806,18887,57661
22,107,Louisiana,Tensas Parish,4178,1197,1329,2554
22,109,Louisiana,Terrebonne Parish,109859,34339,11198,46240
22,111,Louisiana,Union Parish,22170,8407,2654,11201
22,113,Louisiana,Vermilion Parish,59378,21930,5009,27324
22,115,Louisiana,Vernon Parish,47894,14107,2898,17268
22,117,Louisiana,Washington Parish,45773,13307,5970,19513
22,119,Louisiana,Webster Parish,37943,11830,6172,18216
22,121,Louisiana,West Baton Rouge Parish,26792,7684,6200,14097
22,123,Louisiana,West Carroll Parish,10646,4317,710,5052
22,125,Louisiana,West Feliciana Parish,15465,3863,2298,6268
22,127,Louisiana,Winn Parish,13839,4619,1543,6225
23,1,Maine,Androscoggin County,108547,29268,27617,58707
23,3,Maine,Aroostook County,66804,21080,13956,35746
23,5,Maine,Cumberland County,298111,59584,128759,193765
23,7,Maine,Franklin County,29986,8754,8069,17390
23,9,Maine,Hancock County,55088,14982,19369,35325
23,11,Maine,Kennebec County,122955,34721,34902,71858
23,13,Maine,Knox County,39951,9982,15110,25734
23,15,Maine,Lincoln County,34775,10256,12684,23594
23,17,Maine,Oxford County,58132,17698,14755,33492
23,19,Maine,Penobscot County,151655,44825,37713,85269
23,21,Maine,Piscataquis County,16996,6143,3517,9908
23,23,Maine,Sagadahoc County,36044,9755,13528,24038
23,25,Maine,Somerset County,50635,16644,10199,27578
23,27,Maine,Waldo County,39923,11196,12345,24320
23,29,Maine,Washington County,31473,10194,6761,17357
23,31,Maine,York County,209066,54817,71189,129659
24,1,Maryland,Allegany County,70057,20886,9158,30641
24,3,Maryland,Anne Arundel County,582777,127821,172823,309617
24,5,Maryland,Baltimore County,826017,146202,258409,414932
24,9,Maryland,Calvert County,93072,25346,22587,49112
24,11,Maryland,Caroline County,33492,10283,5095,15794
24,13,Maryland,Carroll County,169092,60218,36456,100327
24,15,Maryland,Cecil County,103419,29439,16809,47462
24,17,Maryland,Charles County,164436,25579,62171,89498
24,19,Maryland,Dorchester County,31853,8764,6857,15977
24,21,Maryland,Frederick County,265161,63682,77675,145615
24,23,Maryland,Garrett County,28852,12002,3281,15611
24,25,Maryland,Harford County,256805,80930,63095,148186
24,27,Maryland,Howard County,328200,48390,129433,183062
24,29,Maryland,Kent County,19192,5195,5329,10794
24,31,Maryland,Montgomery County,1051816,101222,419569,533743
24,33,Maryland,Prince George's County,909612,37090,379208,424855
24,35,Maryland,Queen Anne's County,51167,18741,10709,30290
24,37,Maryland,St. Mary's County,114687,30826,23138,55665
24,39,Maryland,Somerset County,25453,5739,4241,10147
24,41,Maryland,Talbot County,36972,10946,11062,22555
24,43,Maryland,Washington County,151146,40224,26044,67779
24,45,Maryland,Wicomico County,103990,22944,22054,46216
24,47,Maryland,Worcester County,52403,18571,12560,31691
24,510,Maryland,Baltimore city,586131,25374,207260,237461
25,1,Massachusetts,Barnstable County,213164,55311,91994,150325
25,3,Massachusetts,Berkshire County,124571,18064,51705,71375
25,5,Massachusetts,Bristol County,566765,119872,153377,279279
25,7,Massachusetts,Dukes County,17461,2631,9914,12798
25,9,Massachusetts,Essex County,791263,144837,267198,421210
25,11,Massachusetts,Franklin County,70267,11201,30030,42458
25,13,Massachusetts,Hampden County,463986,87318,125948,218177
25,15,Massachusetts,Hampshire County,161401,22281,63362,87854
25,17,Massachusetts,Middlesex County,1609379,226956,617196,863577
25,19,Massachusetts,Nantucket County,11376,1914,5241,7306
25,21,Massachusetts,Norfolk County,709409,125294,273312,407751
25,23,Massachusetts,Plymouth County,523738,121227,173630,301816
25,25,Massachusetts,Suffolk County,801582,58613,270522,335462
25,27,Massachusetts,Worcester County,829212,171683,248773,432014
26,1,Michigan,Alcona County,10505,4848,2142,7064
26,3,Michigan,Alger County,9015,3014,2053,5128
26,5,Michigan,Allegan County,118927,41392,24449,67094
26,7,Michigan,Alpena County,28238,10686,6000,16969
26,9,Michigan,Antrim County,23449,9748,5960,15949
26,11,Michigan,Arenac County,14953,5928,2774,8831
26,13,Michigan,Baraga County,8164,2512,1478,4038
26,15,Michigan,Barry County,62061,23471,11797,35905
26,17,Michigan,Bay County,102387,33125,26151,60255
26,19,Michigan,Benzie County,17852,6601,5480,12262
26,21,Michigan,Berrien County,153025,43519,37438,82391
26,23,Michigan,Branch County,43424,14064,6159,20536
26,25,Michigan,Calhoun County,133580,36221,28877,66281
26,27,Michigan,Cass County,51584,16699,9130,26216
26,29,Michigan,Charlevoix County,26105,9841,6939,17000
26,31,Michigan,Cheboygan County,25365,10186,5437,15868
26,33,Michigan,Chippewa County,36958,10681,6648,17642
26,35,Michigan,Clare County,30771,10861,5199,16281
26,37,Michigan,Clinton County,79753,25098,21968,47927
26,39,Michigan,Crawford County,13981,5087,2672,7861
26,41,Michigan,Delta County,35612,13207,7606,21151
26,43,Michigan,Dickinson County,25112,9617,4744,14589
26,45,Michigan,Eaton County,110148,31798,31299,64327
26,47,Michigan,Emmet County,33342,12135,9662,22177
26,49,Michigan,Genesee County,404794,98714,119390,221360
26,51,Michigan,Gladwin County,25424,9893,4524,14603
26,53,Michigan,Gogebic County,13842,4600,3570,8266
26,55,Michigan,Grand Traverse County,93592,30502,28683,60236
26,57,Michigan,Gratiot County,40283,12102,6693,19127
26,59,Michigan,Hillsdale County,45658,17037,5883,23302
26,61,Michigan,Houghton County,35126,10378,7750,18501
26,63,Michigan,Huron County,30653,12731,5490,18437
26,65,Michigan,Ingham County,290609,47639,94212,144550
26,67,Michigan,Ionia County,64553,20657,10901,32209
26,69,Michigan,Iosco County,25140,9759,5373,15363
26,71,Michigan,Iron County,11066,4216,2493,6789
26,73,Michigan,Isabella County,69504,14815,14072,29421
26,75,Michigan,Jackson County,156920,47372,31995,80861
26,77,Michigan,Kalamazoo County,265988,56823,83686,143414
26,79,Michigan,Kalkaska County,18003,7436,3002,10631
26,81,Michigan,Kent County,658708,165741,187915,361048
26,83,Michigan,Keweenaw County,2119,862,672,1557
26,85,Michigan,Lake County,11587,3946,2288,6323
26,87,Michigan,Lapeer County,87635,35482,16367,52650
26,89,Michigan,Leelanau County,21743,7916,8795,16900
26,91,Michigan,Lenawee County,97808,31541,20918,53375
26,93,Michigan,Livingston County,192335,76982,48220,127197
26,95,Michigan,Luce County,6126,2109,842,3001
26,97,Michigan,Mackinac County,10839,4304,2632,7015
26,99,Michigan,Macomb County,870791,263863,223952,494256
26,101,Michigan,Manistee County,24738,8321,6107,14655
26,103,Michigan,Marquette County,65834,16286,20465,37462
26,105,Michigan,Mason County,29164,10207,6802,17254
26,107,Michigan,Mecosta County,43907,13267,7375,21049
